Video  No,Video Title,Video Link,Video Slot,Transcription,Timestamps,Information,Quotations,Speaker Name,,Video Length,Priority,Topic,Video Start Link,Video End Link,Generic Info,Citation,Video Quality
,,,,,,,,Team Member,Non- Team Member,,,,,,,,
1,Year-round crop production without irrigation,https://youtu.be/B9gjgKTn8Co?si=3n8sl5XNj8jPlQGh,Slot 2,"When we look at the natural system of farming, which is a picnic, and the other principles of the picnic, we have started adopting them, such as plowing, walking in water, not letting the land drown, and keeping the land covered with organic mulch.",00:00–00:23,Direct Info,Quote 4,TRUE,FALSE,16:55 min,Medium,Nature's Irrigation System for Plant Growth,Start,End,General information.,,Lectures 
2,Introduction Of Agriculture Land | How To Prepare Land For Agriculture ||,https://youtu.be/dE_Zu08bgzQ,one and two,if we saw on the natural system then the lands which are above there are trees and other crops and the  land which are below there is water so if do the same work in our lands then we can grow a many crops and and we can get profit.On the other hand  now we make fields and we are growing the crops below and the cornor of the land is big and when we give the water to the crops then water stop on the land for this the insects  those are helping to to growth the crops if we drowned the land in the water then these insects are died and the crop will not ive good result. If we buy the seed with minimum expenditure  and we give  the environment to the plant then we can get a batter result first of all we should now that what thing is required to the planet if we give the water and fertiler then we can get a batter resualt and the crops will have a good neturation and the they will taste this is also good for the peopls health   ,start 00:28/ end 41:25,,,,,,,,,,,,
3,Why Plants Require Water : Punjabi Voice Note of 2 minutes --- Year: Not Known; Location: Pakistan .wav,https://drive.google.com/file/d/1DpZm480V6E_02XOHUQ7i4SZnFfS8QVgd/view?usp=sharing,,Sustinable Natural Farming System Paader Quadartti Nazaam Kashatqari (PQNK),,,,,,,,,,,,,
4,PQNK training part 1.1,https://youtu.be/R6fShH2rghU?si=AFQjCFprlX1dVINF,Slot one  two and three,"We can havrvest more and more crop with minimum expenditure accordoing to the america studies the food which are we eating  the neturation is decrease 70% to 80% therefore we are  hunted different disease  so our challenge is that we produce more and more crop with small expenditure like this the price of the honda sivic is very high if we buy the the same car on to the price of suzaki like this we have to grow the crop with small  we grow  the crop with the minimum expenditure and harvest more and more crop    raised bed  no till, and organic mulch are thh PANK principle that reconnect natural provision & system with plants  if we have a garden like the orange garden and graphes and other fruiats garden then the space which is between two trees there we can grow vegetables seasonal vegetables and other vegatables and we can also grow the fruits like melon and other fruiats. the seed. If we buy the seed of he crops or fruits then we give them the good enverinonment  and we give the fertlizer and we give the water to the crops on the time and  we should know that what thing is required now to the plant. there are three principle in this first if we don't distrube the land second if we don't drowned the land in the water and third if we don't leave the land naked if we can do three these work then there is nothing we have to give fertilizer and and we have to not give any input with out water because water is important for every crop  and only we have to grow the crop and harvest the crop in the year the thing which will be more taste they will have more neturation. Because if we saw  before  40 lac years ago there was no man in hte world  the  plants and the crops and the fruits and the vegetables are comming since and  before there was not irragation system and there was no fertilizers so  the  crops whcih are growing with out any fertilizers those are good and they are more more taste and they have neturaiton",Start 01:47/ End 05:06   start 07 :30 End 08:42 Start 09: 33/ End 13: 42 Start 15:17 End 20:15,,,,,,,,,,,,
5,PQNK training 1.5,https://youtu.be/lNluDMl9NAo?si=4InhZQkFom3ONNoq,Slot One two, when the   people invent the thillage plough  this is not good for the  land because for the insects those are helping to growith the crops those are shaking because after the second world war those were used for making the tank and other machineries for war they started to make the tractors and other machinersof  for the crops and the companies those were used before for making the bombs  they statered to make the fertilzers   this system is not good because it disconnect the system between the planet and the land  and for this the insects are are not come in their place. If we say on the amazon forest this is  big forest in he world which is providing the oxgen in the wrold and  and this forest is green and there is no fertilizer and there is no one who is ploughing the forest land but it is green due to the natural system  like this if we do the same work in our fields if we provided  the water to the land on the time. The water is required to the planet like  a blood pressure . If the blood pressure is hingh in our body they we sick and if the blood pressure is low in our body then we sick like this if we give the water to the planet more then the planet is not give good result and if we give the water to the plannet less then the planet will not give good result we have to give the water to the planet in everage not  more and less.  If we saw in our lands our lands are below and   the cornor is big and we give the water to the lands this is not good for our lands and it also decrease the producation of the crops and  if we are getting  the food from these lands they food  will have netruation so we should we fallow the natural system for getting a bater result,Start 03:33 End20:45,,,,,,,,,,,,
7,PQNK training 1.4,https://youtu.be/kkTrZw9zjEE?si=PpP3DDJgnNre6vRu,slot two ,Our life is Connected with the land the land is like a cow when we give the feed to the cow then the cow give us milik like this we have to give the the fertilizers and   water to the planet and we don't know what thing is required to the plants the mycros give the feed to the planet  in the balance form.,Start 00:00 End 18:40,,,,,,,,,,,,
8,Tackling the Sunburn Challenge in Citrus Fruits,https://youtu.be/whLlM8H4Zq0,Slot one and two ,"There are  things those are important in PQNK. First of all in the PQNK the laser  leveling is very important  for the land  and the laser laveling is a process of  flattening or grading the surface to the land  to a desired level using  a laser-  guided system.  This system is helping to acheving a very high level precision- often with in + 2 _ cm -compared to the tradation land  leveling system.  And the Seconed thing is that breaking heardpan is very importan in the land. Because when we plough the land  then the ground soften to the top five or six inches and undeneath it, a structure is formed, a layer is formed, just like a linter. This is very important for the crop the land should be soften 12 or 13 inches because the roots of the crops is going away and they  absorption water. And for doing this there is a little chance of the crop falling from the strom and rain so for this it roots became hard and the crop growth fastly. And the third thing is bed narrow in the PQNK system  bed rasied system is very important.  A bed raised is a long, narrow strip of soil that is raised  above the ground level 2 or 3 inches. on the both sides there is narrow. And this narrow  is used  in the for the water and it also help in the  rain it have a space to stop the water in his narrows and it help to growth the crop fastly. And in PQNK first time we face difficulties because we make our land useless with the thillage plough and by using fertilizers and other systems therefore our land is not be able to absorption the water. Therefore we give the water of the crops again and again in the first we have to give the water  again and again but after one or two years in the PQNK system the land will able to absorption the water. Seed to Seed distance in the PQNK system  if we are growing the seed on the bed system  then first we check the earth's axis. We have to grow the seed in the between we have to not grow the seed on the top of the earth and we have to not grow the seed under the gorund because if the seed will on the top of the land then the roots of he crop will week and it can be effected with the rain and with strom and if we grow the seed under the ground then Maybe the seed will not generated so we have to grow the seed in beween.We should harvest the crop by those machines those  do not  effect the bed system. After harvestin the crop we have to maintan he beds in future because and we do not plough the land and beds. Our main target is that in the PQNK that we can produce the more and more crop with minimum expenditure. And on the bed system we can grow all the crops like rice wheate peanut and checkpea we can all  crops. New farmers PANK do a mistake, by planing in dry soil  and after drying to seep  moisture  in beds. However they never do it when plant  conventially. How ever treate the first crop as it transition for trouble free conversition. PQNK is only remedy to metegate all the issues to sustain life. And we start the PQNK system from one acre or two first we face diffculties but there is not sulation with out PANK to  improve our land and and reduce the water and this is one best way where we can procuce a lot of crops with minium expenditure.",Start 1:50 End 22:10 Start 24:19 End 26:36 .,,,,,,,,,,,,
9,Tackling the Sunburn Challenge in Citrus Fruits,https://youtu.be/nHbUevdjodU?si=bPzNMziBcCT4U-yI,slot two ,When we used the PQNK system then it also increase the taste in the citrus and first year maybe there some citrus will effect with the heat of the sun but maybe some of the citrus will effect with the heat but after few years when the soil will improve then the citrus will reduce to bad so if in the first year if the year if the deteriorating then we have to make a shadow for those citrus those are effecting wiht the heat of the sun but there were few those citrus will effect those are out from the leaf of the planet but there were four or four citrus those will effect in first year ,Start 00:00 End 3:50,,,,,,,,,,,,
10,Useful tools,https://drive.google.com/file/d/1-zuQT_AqoMvgB1avllM5L2jRB0cMEZhR/view,,Here there are many tools those are telling what machine is use for growing the seed and where we should use the machine for the harvestig and  these tools can save our lot of time ,,,,,,,,,,,,,
11,Yield vs Profit - Wheat,https://youtu.be/sS40004xc-o?si=_KhjoYBmUC82pM1d,slot two ,"our mind set is often geared towards evaluating success or failure based on crop yield.  However, it's important to shift our focus towards assessng the cost of procuction and the quaity of he funal procuct.  These factors are key indicators of the overall success and sustainability of production agriculture. how many money we are spending on our agriculture system is this system is giving us profit or not ",Start 00:00 End 06:50 ,,,,,,,,,,,,
12,Cost of transition from conventional to PQNK - The Natural Ecosystem Science,https://youtu.be/Fk-ss3l-eSo?si=4ZePmysmEGkAB2RP,slot two ,When we change the land and we starting to fallow the PQNK system.  Then the cost per acre is about six  thousands rupees and   there is littel water need in the PQNK system and we should give the water  those time when the crop offer the water it tells from their leaf form thier colour that what thing is required to the crop. And the other thing is that it's depends on the land is sandy then  there water is needed more  and the land which is mix wiht the sandy and clay then there water is reqired  there little then the sandy land so it's denpds on the land. And the good thing is that after growing the land we cover it. For doing this the land will remain cool  and good.,Start 00:00 End 04:30 ,,,,,,,,,,,,
