Video  No,Video Title,Video Link,Video Slot,Transcription,Timestamps,Information,Quotations,Speaker Name,,Video Length,Priority,Topic,Video Start Link,Video End Link,Generic Info,Citation,Video Quality
,,,,,,,,Team Member,Non- Team Member,,,,,,,,
1,Year-round crop production without irrigation,https://youtu.be/B9gjgKTn8Co?si=3n8sl5XNj8jPlQGh,Slot 2,"When we look at the natural system of farming, which is a picnic, and the other principles of the picnic, we have started adopting them, such as plowing, walking in water, not letting the land drown, and keeping the land covered with organic mulch.",00:00–00:23,Direct Info,Quote 4,TRUE,FALSE,16:55 min,Medium,Nature's Irrigation System for Plant Growth,Start,End,General information.,,Lectures 
,,,,"These are the basic principles of nature. One principle that we need to look at is how nature has kept this land and the world green and fertile for 4 billion years, and how it provided water to the plants.",00:24–00:40,,,,,,,,,,,,
,,,,And what were the methods of delivering water? How did nature provide water to plants? Because water for plants is as essential as blood is to us. Blood carries food and oxygen from our stomach and lungs to all body cells.,00:41–01:05,,,,,,,,,,,,
,,,,"In the same way, when water enters the soil or when the land is moist, the minerals and microbes mix, and the water rises, providing minerals to fulfill the plant’s needs, and pure water evaporates.",01:06–01:24,,,,,,,,,,,,
,,,,"So, we need to understand how nature ran this process. If you look at nature’s system, the land is not level anywhere; Allah created vegetation for greenery, for plants, and to produce food for all living beings. The low areas were created for water and for animals, forming a new system.",01:25–02:01,,,,,,,,,,,,
,,,,"So, the water that reached all the plants was through a method created by nature, and that method was rainfall first, then dew (which we call ""Os""), and third, the moisture in the air.",02:02–02:20,,,,,,,,,,,,
,,,,"These are the three things that naturally provide water to plants—a back-to-back system. If rainfall doesn't occur, where there is less rainfall, there will be more dew, and where there is less dew, humidity will rise. So, there is a backup system in place to ensure that plants never feel a shortage of water.",02:21–02:42,,,,,,,,,,,,
,,,,"This system only works if we adopt all of nature's systems properly. Now, what did we do? We started leveling the lands. We said that the natural system might not be fully organized or effective, so we used our intellect to level the lands.",02:43–03:09,,,,,,,,,,,,
,,,,"And before leveling, we began plowing the land to expose it, meaning that the natural landscape and the landscape chosen by humans had a stark difference.",03:10–03:21,,,,,,,,,,,,
,,,,"The difference between the two was that nature never exposed the land. It never disturbed the land, and it never allowed water to accumulate on the surface, but we decided to go completely against nature's way.",03:22–03:36,,,,,,,,,,,,
,,,,"Due to Nile and Bekley, the first thing we did was disturb the land by plowing it, and as a result, the natural habitat system broke down and caused damage.",03:37–03:54,,,,,,,,,,,,
,,,,"After that, when the land gets flooded and plowing is done, the water will evaporate, and the land will become dry. When the land is dry, you will need to irrigate it. This method is called flood irrigation.",03:55–04:22,,,,,,,,,,,,
,,,,"Later, some farmers took it to the next level, and the next level was creating channels. The work of creating channels started in the early 70s, which brought some improvement, but still, the channels were so small that they got saturated with water quickly, which is why it didn't bring much benefit.",04:23–04:49,,,,,,,,,,,,
,,,,"After that, in many areas where it didn't rain often, and the land was disturbed and exposed just like we plowed it, the water coming from the natural sources for irrigation was either less or not enough.",04:50–04:59,,,,,,,,,,,,
,,,,"They then implemented sprinklers, a system like artificial rainfall, which was used when there was a drought, no rainfall, or a long gap between rains, to make up for the water shortage.",05:00–05:29,,,,,,,,,,,,
,,,,"Later, drip irrigation systems began in some areas. Drip irrigation involves delivering water drop by drop to plants where there is a shortage of rain or water. This system was mainly implemented in sandy areas or regions where the land could not be leveled.",05:30–05:54,,,,,,,,,,,,
,,,,"Now, this whole system is a man-made system. We said that if we...",05:55–06:00,,,,,,,,,,,,
,,,,"If the principles are being followed during a pqnk,",06:01–06:04,,,,,,,,,,,,
,,,,"the water system should also be followed properly. For that, we implemented a raised bed system, which is natural, as in the upland and lowland system, within the field.",06:05–06:16,,,,,,,,,,,,
,,,,"We replicated the upland and lowland system in the field, created raised beds, and dug channels between them to allow water to penetrate and keep the beds moist.",06:17–06:33,,,,,,,,,,,,
,,,,"This ensures plants stay hydrated, and also allows a tractor to pass. In case of heavy rain, excess water can be drained away.",06:34–06:50,,,,,,,,,,,,
,,,,"This raised bed or water system is a natural system and is quite close to how nature organizes crops, with higher areas for crops and lower areas for water.",06:51–07:03,,,,,,,,,,,,
,,,,"Following this system, these beds were created.",07:04–07:10,,,,,,,,,,,,
,,,,"The natural system for water distribution includes rain, dew, and moisture in the air.",07:11–07:25,,,,,,,,,,,,
,,,,"Many natural mechanisms are in place to initiate this system, such as rain, dew, and moisture in the soil.",07:24–07:42,,,,,,,,,,,,
,,,,"Nature’s system has multiple backups, as relying on just one element could fail due to seasonal variations.",07:43–07:56,,,,,,,,,,,,
,,,,"Nature has its own system, and to maintain it, organic mulch is used, and the soil is not disturbed, ensuring that microorganisms perform their role effectively.",07:57–08:05,,,,,,,,,,,,
,,,,I will explain the processes nature has in place to ensure that plants never face water shortages.,08:06–08:23,,,,,,,,,,,,
,,,,"When we disturbed this system, many problems arose, and we had to create additional systems, depleting the aquifers of water.",08:24–08:46,,,,,,,,,,,,
,,,,This happened due to our lack of understanding and insufficient knowledge.,08:47–08:55,,,,,,,,,,,,
,,,,"Now, let's discuss the natural system—first, rain plays a key role.",08:56–09:02,,,,,,,,,,,,
,,,,"Even where rain doesn’t occur, other factors play their role in ensuring water availability.",09:03–09:15,,,,,,,,,,,,
,,,,"After rainfall, dew helps fill the soil’s water deficit, fulfilling the plant's water requirements.",09:14–09:40,,,,,,,,,,,,
,,,,Moisture in the air ensures that the plant never faces a shortage of water.,09:41–10:01,,,,,,,,,,,,
,,,,"When it rains, the water is absorbed into the soil and becomes available to plants.",10:02–10:34,,,,,,,,,,,,
,,,,"The runoff is prevented; instead, water storage is managed properly within the soil.",10:35–10:59,,,,,,,,,,,,
,,,,"Due to capillary action, water slowly moves toward the plant roots where needed.",11:00–11:55,,,,,,,,,,,,
,,,,"Water moves from one end to another, moisturizing the soil, until the roots benefit from it.",11:56–12:00,,,,,,,,,,,,
,,,,Micro-hazard fungi play a very important role in this system.,12:01–12:22,,,,,,,,,,,,
,,,,"They extend the roots’ reach, providing water and nutrients to the plants.",12:23–12:32,,,,,,,,,,,,
,,,,"Some plants store water within themselves, making it available for others if needed.",12:33–12:54,,,,,,,,,,,,
,,,,Nature’s systems restore and protect vegetation and ensure healthy food production.,12:55–13:36,,,,,,,,,,,,
,,,,"If we allow nature to function properly, all the systems fall into place and function as intended.",13:37–13:49,,,,,,,,,,,,
,,,,We plant seeds because we want to grow specific crops for harvest.,13:50–14:05,,,,,,,,,,,,
,,,,"When nature’s system is allowed to work, no extra input is required.",14:06–15:39,,,,,,,,,,,,
,,,,There is no need for external inputs.,15:40–15:59,,,,,,,,,,,,
,,,,"The natural system moves water efficiently to plants via capillary action and root adaptation.Just like in forests, in concentrated farms, we need to plant seeds for growth.",16:00–16:04,,,,,,,,,,,,
,,,,"Otherwise, no kind of intervention is needed to plant seeds because we do not disturb the soil.",16:05–16:12,,,,,,,,,,,,
,,,,"That’s why we use a slit-till planter, also known as a no-till planter.",16:13–16:16,,,,,,,,,,,,
,,,,This allows us to plant seeds without disturbing the soil.,16:17–16:20,,,,,,,,,,,,
,,,,And this entire process is completed without disturbing the soil.,16:21–16:28,,,,,,,,,,,,
,,,,"So, I’ve explained that the natural water system is so efficient. If we water properly, plants do not face any issues.",16:29–16:33,,,,,,,,,,,,
,,,,"Plants will be happier, produce more, and yield high-quality production.",16:34–16:46,,,,,,,,,,,,
,,,,"Therefore, it's crucial to understand this entire system properly. Thank you very much.",16:47–16:55,,,,,,,,,,,,
2,Ginger production on PQNK,https://youtu.be/JD5QYn1xQXQ?si=TzjnSH-N5t2YVNEx,slot 2,Ginger production on PQNK,00:00–00:03,Direct Info,Quote 4,TRUE,FALSE,16:55 min,High,Optimizing Ginger Yield with PQNK,Start,End,more specific ,,Outdoor Survey 
,,,,"Steps and Guidelines for Ginger Cultivation:
- Begin by leveling the field with a laser.
- Break the hard pan and make raised beds.
- Plant ginger on the prepared beds.
- As ginger grows (4-5 feet), apply a mulcher to distribute mulch on the beds.
- Maintain soil temperature at ~25°C with regular mulching.
- Intercropping with crops like corn or vines can help in hot climates.
- Ginger can also be grown in orchards.
- Ethanol helps plants withstand midday heat.
- Use well-drained loamy and slightly acidic soils for optimal growth.",20:00–15:35,,,,,,,,,,,,
